"ID","Pathology"
1105,0
1106,0
1107,0
1108,0
832,0
833,0
834,0.5
835,0.5
460,1
475,1
476,2
478,1
492,4
493,3
509,3
510,3
966,0
967,0
968,0
969,0
809,1
810,1
811,2
812,1
451,3
452,3
453,3
454,4
97,5
113,5
154,5
2424,0
2425,0
2439,0
2440,0
2391,0
2431,0
2415,0
2442,0
2443,0
2099,0
2125,2
2154,2
2187,2
1809,0
1811,0
1825,0
1826,0
1816,0
1817,0
1818,1
1819,0
1461,2
1463,3
1474,1
1494,1
1149,5
1150,4
1160,4
2357,0
2359,0
2374,0
2375,0
2319,0
2331,0
2339,0
2350,0
2335,0
2336,0
2343,0
2344,0
2297,0
2306,0
2314,0
1804,NA
1808,NA
1810,NA
1824,NA
2358,NA
2360,NA
2376,NA
2398,NA
2399,NA
2423,NA
2438,NA
1838,NA
1839,NA
2320,NA
2330,NA
2338,NA
2351,NA
2392,NA
2393,NA
2393,NA
2434,NA
1462,NA
1472,NA
1473,NA
1475,NA
2337,NA
2341,NA
2342,NA
2416,NA
2417,NA
2418,NA
1145,NA
1151,NA
1161,NA
2098,NA
2152,NA
2153,NA
2155,NA
